address,pubkey,value
12DYaTLNURb5GGxiMVtV4636tyNeUYxLbK,,5403766000
12DZgUgs8suY73A5YjNatQE8v7vHNpix9V,,36333000000
12Df9PMLNVDnG8ZXCimmtVyPxXGvwvjz7y,,1004500000
12Dn2g24fy2u1vErUVBzGGoK5FB14E7u7y,,67000000
12DtjikrA9TL4Zq4c6HRntw2pfkajcYBqz,,95734010000
12Dwo2KpTZBmxGPnE5Cf7fCaAMrcWaUw3u,,1004500000
12DxNBMgZfR3begNQg7FugE1Rw6vam8bNj,,448000000
12DxiriT5UNdKWn8npKxGECTrKqw9VrgjT,,1004500000
12E4aas3j4S8nrcBN8AURXvbS3E4QTe7vg,,50250000000
12E532H19GMj2uTUrsWp1U444L8akbAGfF,,171000000
12E5GCbz76f2QRek33kFZBbrC1WFsiz9hR,,1004500000
12E7dkuZegobjNFcmsgWScZiK6bctiaT6x,,5436860000
12EBasuqk9irLHBsf7YKk8oMfpMNSt8irm,,800000
12EHjbwtTikhMEnY5qFkLiNgYguRSXtUsr,,1004500000
12EKwJtq7f1TMKFBqKoACQbGGe2aWuYmtb,,87000000
12EQbq9qGbeR8kk7WLjq6NYfzBv36gJVLS,,74230762000
12ETq8xoJCgJKU5Bkguk16Xd8u2pMV8fT5,,1004500000
12EZqGv6JtqpuMfWwzz2PpzUsmoyqhM4Zh,,5158000000
12Ei2thk9bRTzMFY2wkxU5pATtYnW1voju,,123000000
12EnGAFCtvcadNc3N8ZWN1vv3z9unUPiEG,,1004500000
12Er6k4p4CVYxsC66yDduE16zMMgNoSxzh,,1004500000
12ErwNi19ozfnZyhY4zTyZpsBpv1ck1UoE,,1004500000
12FFBELHd5o5HmrACqUVg5spQpnxW9mGk2,,203000000
12FRDfEvUE6Sd7Cdb1vUVGAcXpWkwxJd6z,,9000000000
12FSq3AYcg6ThsszAKaa7rhEzTUmrESN57,,404000000
12FTjHWeb2QvZk5wtuzrumuZRqfMhmCuDp,,1028490000
12FYrZVCTYTiV8jQhSyeLvRnAzTpSz8ddE,,363000000
12FcU4BLQmMyXZiTgHyfWNXcfbYVqCotsG,,2800000
12Fdbavv6i7GkApALpc1i3KPL8vzdVMSqT,,1004500000
12FduHZUvNmd46q1Egj8VEvQzXCav4CWwj,,1007300000
12FkTFLCaRMSXZ7htUryDKdew9bV2NEwAC,,109000000
12FmjVfbrFUF81BYNSYHxLddd1UqSCMJFF,,1004500000
12Fp7ZAa6rjsgpHD5rjugqak7dB42hSyeT,,1008000000
12FwQn7atdytjWCVHHiSLoK2j1gGfZxu6j,,168375890000
12G3ovDe3SqJCsCTDZQjshZ6JhPwEqrBwB,,21769250000
12G58SMx6R1apoGaRfRwZFxn1kLTAck7ri,,18000000
12G6mXA8GjvQ7MpZJFPPAHrPYy7PayUGRD,,712000000
12GAJC9jRoo8oGXikWiaXjJJ8sRTgzPir8,,223000000
12GFq2C5qHbkRy9NamQtwFQBHbzQEbhBGF,,68500000
12GJmGGfpXhnqQVqgJnGjMWzWrPG3f7mJr,,231000000
12GZPe2Xn58TZGNyrbciUTke14HQARA2pf,,700000
12Gdqa6WcChusjJMB68RXeozGmna51B9ed,,1004500000
12Ge2X5ob4XDEPKmU5gMGPEtVrdsPz5rEe,,1004500000
12GfGhE12kb25D6fu9Da8q9uy7QkcWRj6E,,1000000
12GmRUnLMzEES9rGEuwug2HhMVygFZuXdp,,2106420000
12Go9um4tSzh2qoc4MVcEKf3HzZdcGLRky,,1000000000
12GugAtn25axpxFA2fCtMxeKiKi68wJC6G,,2800000
12GxF3Lu9QgjbYcPJca8cB9SyuMzBVQvYr,,1007300000
12H16YybT2vQQmJDpW8sxU9Mp1Gq2KPSMN,,64000000
12H5sLFFDqZL6RmH2BXwGVUGTTFC4AsnH7,,305000
12H6ta1SMbvT7YcgAnbsHKeGByXY5YN3Nc,,2100000
12H84PtAETx1eKuhh1gdkFEBwhxpnXKuCm,,1003800000
12H8p2YC5rnMzHyHNfCkUaxKxgbJMMH7ps,,2800000
12HCV6dR2iuunwMRC1MLNdB744AdGHpYUJ,,1004500000
12HGy9cC7yY6q3hbAbDCuxXxug61UiuHcM,,88433230000
12HJD59FnhEHXUq3eDwvs7yJzeGcYnb7js,,1015720000
12HTus8Ws9LMaa6Xr5e4ztbUBKZrAcv8GG,,1004500000
12HUNX7Hexc2yAtZj1cMx2PLrE72Q8JSSC,,1004500000
12HUeChv5fKJ3KJ78AjphDsjQGK41mrauf,,2000000
12HgSDd2tKnB6HJy8LnVgovH4ExhAB4tEi,,930870000
12HkyChhkogVfaMTs26k1Q6GUUrXhv9HXR,,826400000
12HwRxBxVFMfT9MmKxUiYQMvnPZHYpv8AU,,1004500000
12HynjW3RGz7qdj2tPz7QJ4CSrVaDPFykX,,7404500000
12J1SxWRM9tLqz24VH8YYS7zJbVocoWyqw,,6220620000
12J7KEYmXsUm7amSCnwfD7CBGUDLYREfj7,,4440520000
12JH5SQp99CyKektaFZuSyf9q1gDQ9Twqj,,295000000
12JJsFvsogswHaduz5Sm6qU8REVidbtfsB,,2047180000
12JT4u13PBGrY2uYE4Ywghmqo751d7fE2z,,232000000
12JaJFizCQdJXqSvJFWjBodSMvFfNJkEwV,,2047180000
12JeuKhNvdTKA5qmQm8hbJSEwcqQPLhDNV,,332844920000
12JsX1KLJXpdKjQKJnrTPv1jsbdjdWM6ex,,17000000
12JtzBgS3fD57eXLT4yR7yDanLiTqPLBte,,1007300000
12JvgpL5fvLJJriybnDLF5S32aF3xKeHcY,,1767600000
12KBavZpeCpeRLT3wdZeSGbfLGAtMYRGwd,,1000000
12KG29fCPh9Y3NEvkq2xYmh4fhuqq3M7TT,,2009000000
12KGooPGvRgMrt9H1GpU2vmPdNfgTyPsGJ,,700000
12KTAKYAyGrDKXvEdSsf2jCmkc1m2nAQVE,,1004500000
12KVYubHjCjXnFi4ci8ZHKHsUn4pA4HJo7,,3333000000
12KVuo5LyX2r9xTzow2RgBczwmgfKynNNf,,1003800000
12KW73DCpgk8vmYpsJvyctrfx58LAGtvQy,,2800000
12KgZtSXnyrxmTqRJEzcEi3fARVHJs1krg,,4029250000
12KkkwWhBfcuYLMVQjLwg1HQxkcCZTUuiV,,50150000
12KrJ4EAhcSZHEYwSWDZq7Qegayqa15gQY,,1005900000
12KzvoLRw48GS7iRoano6hbs6MdEjpRau8,,1004500000
12L69DVLqdjKrLq2ZSn9AbeEXpvkQZEJ8A,,2103610000
12LHVP1Y4orusX5D9rafuFfcfPzWAdHgoK,,2100000
12LMKVQFXJJyiRDoFRnWPQRgd5L2VELuEE,,1006600000
12LMd82VShCPitqdDKcTbb95cBWuSEChez,,1004500000
12LNfGiWAsEU1mxKBjSVasJGcNtJiYtyn5,,2800000
12LQ6Krqw5JoRZsmGEgZEch2urzUYrHBJ3,,1004500000
12LSeDYqgJCkHEs6iEbgiTwbHHiGwkd8iP,,2100000
12LSoCTMNfRDEyYEDZM1QXPm5VhsU8ipUh,,81000000
12LZcjX1fbRs4RmwdD8zY1sC5TgvX3zjy4,,28350000
